Original,New,OriginalRetrofitted,Retrofitted,YearX,YearY,target
1,1,0,0,1981,1982,2.8861386964098985
1,1,0,0,1981,1983,0.8304691808992685
1,1,0,0,1981,1984,0.8190119205298022
1,1,0,0,1981,1985,-2.0852831230393876
1,1,0,0,1981,1986,-1.2166800418264205
1,1,0,0,1981,1987,-1.0531449285465309
1,1,0,0,1981,1988,4.255455977692577
1,1,0,0,1981,1989,3.9859317950505417
1,1,0,0,1981,1990,5.104780174276753
1,1,0,0,1981,1991,1.142697971418615
1,1,0,0,1981,1992,2.6358911397699534
1,1,0,0,1981,1993,2.4356119344719396
1,1,0,0,1981,1994,6.986512094806553
1,1,0,0,1981,1995,4.424766399442313
1,1,0,0,1981,1996,1.8625606971070043
1,1,0,0,1981,1997,5.208788428023701
1,1,0,0,1981,1998,3.486261080515859
1,1,0,0,1981,1999,2.9171375949808285
1,1,0,0,1981,2000,6.870479665388638
1,1,0,0,1981,2001,4.236417260369468
1,1,0,0,1981,2002,6.775999051934473
1,1,0,0,1981,2003,3.808777915650052
1,1,0,0,1981,2004,5.164112791913557
1,1,0,0,1981,2005,3.1693290763332174
1,1,0,0,1981,2006,5.080444224468458
1,1,0,0,1981,2007,6.699068720808644
1,1,0,0,1981,2008,5.1795444823980485
1,1,0,0,1981,2009,4.980720585569887
1,1,0,0,1981,2010,1.468747298710352
1,1,0,0,1981,2011,8.235471676542351
1,1,0,0,1981,2012,4.467757100034856
1,1,0,0,1981,2013,1.7143413314743825
1,0,0,0,1981,1982,2.4292167793656323
1,0,0,0,1981,1983,0.46295274311606566
1,0,0,0,1981,1984,0.4687205228302506
1,0,0,0,1981,1985,-2.527690352039041
1,0,0,0,1981,1986,-1.5807016312303939
1,0,0,0,1981,1987,-1.4038940745904502
1,0,0,0,1981,1988,3.765966169397003
1,0,0,0,1981,1989,3.535050198675497
1,0,0,0,1981,1990,4.548609682816308
1,0,0,0,1981,1991,0.7522971279191332
1,0,0,0,1981,1992,2.149303666782848
1,0,0,0,1981,1993,1.9561127849424866
1,0,0,0,1981,1994,6.433435921924013
1,0,0,0,1981,1995,3.8842225932380607
1,0,0,0,1981,1996,1.4067349668874158
1,0,0,0,1981,1997,4.5914648658069
1,0,0,0,1981,1998,3.046745646566745
1,0,0,0,1981,1999,2.4431238968281606
1,0,0,0,1981,2000,6.23751059602649
1,0,0,0,1981,2001,3.7728429348204924
1,0,0,0,1981,2002,6.234706134541652
1,0,0,0,1981,2003,3.24157779714186
1,0,0,0,1981,2004,4.607502621122342
1,0,0,0,1981,2005,2.6574999442314367
1,0,0,0,1981,2006,4.499881317532239
1,0,0,0,1981,2007,6.015973949111186
1,0,0,0,1981,2008,4.583894701986754
1,0,0,0,1981,2009,4.3396678912513025
1,0,0,0,1981,2010,0.9819723597072134
1,0,0,0,1981,2011,7.529401401185081
1,0,0,0,1981,2012,3.9254974904147755
1,0,0,0,1981,2013,1.2976515789473655
1,1,0,1,1981,1982,9.61940678982224
1,1,0,1,1981,1983,7.69594372952248
1,1,0,1,1981,1984,7.594913098640641
1,1,0,1,1981,1985,4.959838828860229
1,1,0,1,1981,1986,5.74736699895434
1,1,0,1,1981,1987,5.841917629836178
1,1,0,1,1981,1988,10.982469933774837
1,1,0,1,1981,1989,10.804048964796094
1,1,0,1,1981,1990,11.840247417218544
1,1,0,1,1981,1991,7.994992680376439
1,1,0,1,1981,1992,9.42612932729174
1,1,0,1,1981,1993,9.194043387940047
1,1,0,1,1981,1994,13.568453705123733
1,1,0,1,1981,1995,11.117214332520042
1,1,0,1,1981,1996,8.663443792262115
1,1,0,1,1981,1997,11.918410958522134
1,1,0,1,1981,1998,10.206868818403624
1,1,0,1,1981,1999,9.78765791565005
1,1,0,1,1981,2000,13.534310798187523
1,1,0,1,1981,2001,10.96050027187173
1,1,0,1,1981,2002,13.382986573719064
1,1,0,1,1981,2003,10.711878173579644
1,1,0,1,1981,2004,11.948166859532938
1,1,0,1,1981,2005,10.049060829557336
1,1,0,1,1981,2006,11.897743771348901
1,1,0,1,1981,2007,13.375529341233877
1,1,0,1,1981,2008,11.82032105960265
1,1,0,1,1981,2009,11.861080989891947
1,1,0,1,1981,2010,8.363216591146738
1,1,0,1,1981,2011,14.91379641686999
1,1,0,1,1981,2012,11.258830979435343
1,1,0,1,1981,2013,8.535016772394563
1,0,0,1,1981,1982,10.282116880446146
1,0,0,1,1981,1983,8.427360491460437
1,0,0,1,1981,1984,8.345202945277098
1,0,0,1,1981,1985,5.620546270477515
1,0,0,1,1981,1986,6.47799248867201
1,0,0,1,1981,1987,6.590531575461834
1,0,0,1,1981,1988,11.606358748692923
1,0,0,1,1981,1989,11.46565835134193
1,0,0,1,1981,1990,12.404893959567794
1,0,0,1,1981,1991,8.70915278145695
1,0,0,1,1981,1992,10.058192865109792
1,0,0,1,1981,1993,9.834091171139768
1,0,0,1,1981,1994,14.142493875914953
1,0,0,1,1981,1995,11.697187162774487
1,0,0,1,1981,1996,9.318190718020213
1,0,0,1,1981,1997,12.424842150575115
1,0,0,1,1981,1998,10.875964799581736
1,0,0,1,1981,1999,10.423555095852212
1,0,0,1,1981,2000,14.036123098640637
1,0,0,1,1981,2001,11.609944695015683
1,0,0,1,1981,2002,13.968862701289648
1,0,0,1,1981,2003,11.265722457302195
1,0,0,1,1981,2004,12.515602805855696
1,0,0,1,1981,2005,10.650042652492155
1,0,0,1,1981,2006,12.4426288358313
1,0,0,1,1981,2007,13.826897472987103
